,,,time(s),Vout,Vin
,,,-0.00911,1.8,2.8
,,,-0.0091,1.8,2.88
,,,-0.00909,1.84,2.96
,,,-0.00908,1.84,3.04
,,,-0.00907,1.88,3.08
,,,-0.00906,1.92,3.12
,,,-0.00905,1.96,3.16
,,,-0.00904,2,3.16
,,,-0.00903,2,3.12
,,,-0.00902,2.04,3.12
,,,-0.00901,2.04,3.08
,,,-0.009,2.04,3
,,,-0.00899,2.08,2.92
,,,-0.00898,2.08,2.84
,,,-0.00897,2.12,2.72
,,,-0.00896,2.12,2.6
,,,-0.00895,2.12,2.48
,,,-0.00894,2.12,2.32
,,,-0.00893,2.12,2.24
,,,-0.00892,2.12,2.12
,,,-0.00891,2.12,1.96
,,,-0.0089,2.12,1.84
,,,-0.00889,2.12,1.68
,,,-0.00888,2.08,1.56
,,,-0.00887,2.08,1.44
,,,-0.00886,2.08,1.32
,,,-0.00885,2.08,1.24
,,,-0.00884,2.04,1.16
,,,-0.00883,2.04,1.08
,,,-0.00882,2,1.04
,,,-0.00881,1.96,1
,,,-0.0088,1.96,0.96
,,,-0.00879,1.96,1
,,,-0.00878,1.92,1
,,,-0.00877,1.88,1.04
,,,-0.00876,1.88,1.04
,,,-0.00875,1.84,1.12
,,,-0.00874,1.84,1.2
,,,-0.00873,1.84,1.28
,,,-0.00872,1.84,1.4
,,,-0.00871,1.8,1.48
,,,-0.0087,1.8,1.6
,,,-0.00869,1.8,1.76
,,,-0.00868,1.8,1.88
,,,-0.00867,1.8,2.04
,,,-0.00866,1.8,2.16
,,,-0.00865,1.8,2.28
,,,-0.00864,1.84,2.4
,,,-0.00863,1.84,2.56
,,,-0.00862,1.84,2.68
,,,-0.00861,1.88,2.76
,,,-0.0086,1.88,2.88
,,,-0.00859,1.88,2.92
,,,-0.00858,1.92,3.04
,,,-0.00857,1.96,3.08
,,,-0.00856,1.96,3.12
,,,-0.00855,2,3.12
,,,-0.00854,2.04,3.12
,,,-0.00853,2.04,3.12
,,,-0.00852,2.08,3.08
,,,-0.00851,2.08,3.04
,,,-0.0085,2.12,2.96
